name,year elected,year terminated
Ricky Burgess,2008,2024
Darlene Harris,2006,2020
Daniel Gilman,2014,2018
Natalia Rudiak,2009,2018
Sala Udin,1997,2007
Gene Ricciardi,1988,2006
Christopher Smith,1993,1994
Jake Milliones,1990,1993
Michael Coyne,1988,1992
Bernard Regan,1988,1992
Alan Hertzberg,1994,2005
Otis Lyons Jr.,1988,1989
Mark Pollock,1986,1989
Ben Woods,1981,1989
Jim O'Malley,1980,1987
William Robinson,1978,1985
Jim Bulls,1977,1980
Richard E. Givens,1976,1987
James Lally,1976,1980
Frank Lucchino,1974,1978
John Lynch,1970,1976
Robert Rade Stone,1973,1985
Charles Leslie,1970,1972
Amy Ballinger,1970,1976
George Shields,1970,1974
John Lynch,1970,1976
Edgar Michaels,1969,1974
Thomas Fagan,1968,1973
Louis Mason Jr.,1967,1977
Walter Kamyk,1963,1970
Charles Leslie,1961,1969
Phillip Baskin,1962,1970
James Jordan,1960,1967
Horner Green,1960,1961
George Shields,1970,1974
Edgar Michaels,1969,1974
J. Craig Kuhn,1959,1970
Charles McCarthy,1958,1963
David Olbum,1956,1961
Irma D'Ascenzo,1956,1970
Paul Jones,1954,1960
Emanuel Schifano,1952,1956
Bennett Rodgers,1952,1959
Charles Dinan,1952,1958
John Counahan,1952,1970
William Davis,1951,1953
Patrick Fagan,1950,1967
Frederick Weir,1947,1960
William Alvah Stewart,1946,1951
Thomas Kilgallen,1940,1951
John Duff Jr.,1940,1952
Edward Leonard,1939,1951
A.L. Wolk,1938,1956
James A. O'Toole,1936,1941
Frederick Weir,1936,1947
George Evans,1935,1945
John Jane,1934,1935
John Houston,1934,1935
Walter Demmer,1934,1951
William Soost,1932,1935
John Phillips,1931,1932
Michael Muldowney,1930,1933
Clifford Connelley,1930,1933
George J. Kambach,1929,1931
Harry A. Little,1926,1933
Robert J. Alderdice,1924,1932
Joseph F. Malone,1922,1930
Wallace Borland,1922,1925
Charles Anderson,1920,1939
A.K. Oliver,1919,1921
John H. Henderson,1919,1921
Daniel Winters,1918,1929
William J. Burke,1918,1919
William H. Robertson,1916,1924
John H. Dailey,1916,1921
Charles H. Hetzel,1914,1915
W.Y. English,1914,1933
G.A. Dillinger,1913,1917
Robert Garland,1911,1939
S.S. Wooburn,1911,1939
W.G. Wilkins,1911,1913
Enoch Rauh,1911,1919
James P. Kerr,1911,1918
John M. Goehring,1911,1915
W.A. Hoeveler,1911,1914
